id_entidad,nombre_entidad,direccion,telefono,address_department
PE-CONSUCODE-674,MUNICIPALIDAD DISTRITAL DE LAJAS,JR.28 DE JULIO Nº231 PLAZA DE ARMAS LAJAS,076630238,CAJAMARCA
PE-CONSUCODE-1447,MUNICIPALIDAD DISTRITAL DE HUANCAYA,JR. CIRO NAPANGA AGUERO S/N 2DO PISO,964226321,LIMA
PE-CONSUCODE-10188,ESCUELA NACIONAL SUPERIOR DE FOLKLORE,AV. LAS FLORES 336 LIMA,,LIMA
PE-CONSUCODE-67,MUNICIPALIDAD PROVINCIAL DE CHACHAPOYAS,JR.ORTIZ ARRIETA 588,041477002,AMAZONAS
PE-CONSUCODE-481,MUNICIPALIDAD DISTRITAL DE ANDARAY,PLAZA DE ARMAS,0,AREQUIPA
PE-CONSUCODE-1340,MUNICIPALIDAD DISTRITAL DE SAN LUIS - LIMA,AV. DEL AIRE URB.VILLA JARDIN Nº 1540,,LIMA
PE-CONSUCODE-453,MUNICIPALIDAD DISTRITAL DE HUANCARQUI,CALLE 7 DE JUNIO Nº 711 - PLAZA PRINCIPAL,0,AREQUIPA
PE-CONSUCODE-1841,MUNICIPALIDAD DISTRITAL DE CIUDAD NUEVA,CALLE MANUEL LORENZO VIDAURE Nº 448,952915656,TACNA
PE-CONSUCODE-10509,GOBIERNO REGIONAL DE LA LIBERTAD-SALUD UTES OTUZCO,CALLE PROGRESO   Nº 385  OTUZCO,,LA LIBERTAD
PE-CONSUCODE-2380,ENTIDAD PRESTADORA DE SERVICIO DE SANEAMIENTO DE TACNA S.A,DOS DE MAYO N° 372 - TACNA,11111111,TACNA
PE-CONSUCODE-592,MUNICIPALIDAD DISTRITAL DE SANTIAGO DE LUCANAMARCA,PLAZA PRINCIPAL S/N,,AYACUCHO
PE-CONSUCODE-865,MUNICIPALIDAD DISTRITAL DE LARIA,PLAZA PRINCIPAL S/N 2DO PISO,,HUANCAVELICA
PE-CONSUCODE-10619,GOBIERNO REGIONAL DE UCAYALI-HOSPITAL AMAZONICO,AGUAYTIA,061596306,UCAYALI
PE-CONSUCODE-144,MUNICIPALIDAD PROVINCIAL DE UTCUBAMBA - BAGUA GRANDE,JR. ANGAMOS Nº 349 - BAGUA GRANDE,041474256,AMAZONAS
PE-CONSUCODE-543,MUNICIPALIDAD DISTRITAL DE SIVIA,PLAZA PRINCIPAL S/N SIVIA,,AYACUCHO
PE-CONSUCODE-10178,GOBIERNO REGIONAL DE LIMA - UNIDAD DE GESTION EDUCATIVA LOCAL UGEL 13 - YAUYOS,CALLE COMERCIO YAUYOS,8307010,LIMA
PE-CONSUCODE-2362,EMPRESA MUNICIPAL DE SANEAMIENTO BASICO DE PUNO SOCIEDAD ANONIMA,AV. LA TORRE Nº 753 -PUNO,11111111,PUNO
PE-CONSUCODE-1001,MUNICIPALIDAD DISTRITAL DE UMARI,CARRETERA CENTRAL No 35,,HUANUCO
PE-CONSUCODE-1004,MUNICIPALIDAD DISTRITAL DE HONORIA,AV. JUAN VELASCO ALVARADO,,HUANUCO
PE-CONSUCODE-10,JURADO NACIONAL DE ELECCIONES,JR. LAMPA 946 LIMA,3111700,LIMA
PE-CONSUCODE-10169,UNIDAD DE GESTION EDUCATIVA LOCAL UGEL 04 - COMAS,AV. EL MAESTRO  PERUANO - ALT. KM. 8.5  AV. TUPAC AMARU LIMA,,LIMA
PE-CONSUCODE-10270,INPE-DIRECCION REGIONAL NOR ORIENTE SAN MARTIN,GREGORIO DELGADO 446 - 450,,SAN MARTIN
PE-CONSUCODE-1035,MUNICIPALIDAD DISTRITAL DE SUBTANJALLA,AV. MUNICIPALIDAD Nº 200 - SUBTANJALLA,,ICA
PE-CONSUCODE-10359,GOBIERNO REGIONAL DE SAN MARTIN - PROYECTO ESPECIAL HUALLAGA CENTRAL Y BAJO MAYO,AV. CIRCUNVALACION S/N SECTOR TARAPOTILLO,943421395,SAN MARTIN
PE-CONSUCODE-10366,PROYECTO ESPECIAL BINACIONAL DE LAGO TITICACA,AVENIDA LA TORRE 399,051352999,PUNO
PE-CONSUCODE-10406,GOBIERNO REGIONAL DE APURIMAC-TRANSPORTES APURIMAC,AV. MARIÑO 125 ABANCAY,,APURIMAC
PE-CONSUCODE-10432,GERENCIA SUB-REGIONAL CUTERVO,AV. SALOMON VILCHEZ MURGA S/N,,CAJAMARCA
PE-CONSUCODE-10481,GOBIERNO REGIONAL DE JUNIN-SALUD,AV. HUANCAVELICA 826 HUANCAYO,,JUNIN
PE-CONSUCODE-10498,GOBIERNO REGIONAL DE LA LIBERTAD-EDUCACION USE SANCHEZ CARRION,JR. JOSE BALTA NRO 1005 HUAMACHUCO,,LA LIBERTAD
PE-CONSUCODE-10507,GOBIERNO REGIONAL DE LA LIBERTAD - RED SALUD SANCHEZ CARRION - HOSPITAL LEONCIO PRADO,AV.  10 DE JULIO 209 HUAMACHUCO,,LA LIBERTAD
PE-CONSUCODE-202745,GOBIERNO REGIONAL HUANCAVELICA UNIDAD EJECUTORA RED DE SALUD TAYACAJA,MARISCAL CACERES,964374247,HUANCAVELICA
PE-CONSUCODE-1091,MUNICIPALIDAD DISTRITAL DE SANTO DOMINGO DE ACOBAMBA,PLAZA PRINCIPAL,,JUNIN
PE-CONSUCODE-1096,MUNICIPALIDAD PROVINCIAL DE CONCEPCION,AV.MARISCAL CACERES 329 2DO PISO,,JUNIN
PE-CONSUCODE-1264,MUNICIPALIDAD DISTRITAL DE CALAMARCA,AV.28 DE JULIO S/N,964898228,LA LIBERTAD
PE-CONSUCODE-1280,MUNICIPALIDAD DISTRITAL DE NUEVA ARICA,CALLE MIGUEL GRAU 851 NUEVA ARICA CHICLAYO LAMBAYEQUE,074-220211,LAMBAYEQUE
PE-CONSUCODE-1292,MUNICIPALIDAD DISTRITAL DE MANUEL ANTONIO MESONES MURO,CALLE SAN ISIDRO LABRADOR NO 201,979848469,LAMBAYEQUE
PE-CONSUCODE-1357,MUNICIPALIDAD DISTRITAL DE ARAHUAY,PLAZA DE ARMAS DE ARAHUAY S/N,962767499,LIMA
PE-CONSUCODE-1369,MUNICIPALIDAD DISTRITAL DE IMPERIAL,JIRON 28 DE JULIO NO 335,2847716,LIMA
PE-CONSUCODE-1375,MUNICIPALIDAD DISTRITAL DE SAN ANTONIO - CANETE,CALLE PABLO NOSIGLIA NO 137 2DO PISO,5309655,LIMA
PE-CONSUCODE-1457,MUNICIPALIDAD DISTRITAL DE QUINCHES,PLAZA DE ARMAS S/N,993105429,LIMA
PE-CONSUCODE-148,MUNICIPALIDAD DISTRITAL DE JAMALCA,JIRION SAN MARTIN S/N  JAMALCA,01980843916,AMAZONAS
PE-CONSUCODE-1498,MUNICIPALIDAD DISTRITAL DE PASTAZA,CALLE MARISCAL CASTILLA 1101-YURIMAGUAS,,LORETO
PE-CONSUCODE-1554,MUNICIPALIDAD DISTRITAL DE PACOCHA,AV INGENIERIA MZ C LT SC02,053-837101,MOQUEGUA
PE-CONSUCODE-1573,MUNICIPALIDAD DISTRITAL DE SAN PEDRO DE PILLAO,CALLE LIMA S/N SAN PEDRO DE PILLAO DANIEL ALCIDES CARRION PASCO,982675096,PASCO
PE-CONSUCODE-1589,MUNICIPALIDAD DISTRITAL DE LA ARENA,JR. AREQUIPA Nº409,373030,PIURA
PE-CONSUCODE-1597,MUNICIPALIDAD DISTRITAL DE MONTERO,JR.  ERNESTO MERINO Nº 152,,PIURA
PE-CONSUCODE-1599,MUNICIPALIDAD DISTRITAL DE PAIMAS,AV. GRAU Nº 320,,PIURA
PE-CONSUCODE-1620,MUNICIPALIDAD DISTRITAL DE SAN JUAN DE BIGOTE,AV. MANUEL SEDAME Nº111,968792493,PIURA
PE-CONSUCODE-1632,MUNICIPALIDAD DISTRITAL DE MARCAVELICA,PLAZA DE ARMAS S/N,999143895,PIURA
PE-CONSUCODE-203566,GOBIERNO REGIONAL JUNIN RED DE SALUD CHUPACA,19 DE ABRIL SIN NRO,064398261,JUNIN
PE-CONSUCODE-1679,MUNICIPALIDAD DISTRITAL DE AJOYANI,PLAZA MANCO CAPAC S/N,950857067,PUNO
PE-CONSUCODE-1724,MUNICIPALIDAD DISTRITAL DE LIMBANI,JR. 8 DE OCTUBRE  S/N - LIMBANI,324576,PUNO
PE-CONSUCODE-1751,MUNICIPALIDAD DISTRITAL DE CONDURIRI,PLAZA DE ARMAS S/N 2DO PISO,,PUNO
PE-CONSUCODE-1801,MUNICIPALIDAD DISTRITAL DE LA BANDA DE SHILCAYO,JR.YURIMAGUAS NRO 340,042522568,SAN MARTIN
PE-CONSUCODE-1828,MUNICIPALIDAD PROVINCIAL DE EL DORADO VILLA SAN JOSE DE SISA,JR. TACNA Nº475,942072944,SAN MARTIN
